Wall time,Step,Value
1522813305.1912756,5,0.3325499892234802
1522813306.285317,18,0.3382999897003174
1522813306.7811837,24,0.3349500000476837
1522813308.1262083,40,0.34435001015663147
1522813308.2983637,42,0.34459999203681946
1522813308.5447798,45,0.34700000286102295
1522813309.2147007,53,0.3445500135421753
1522813309.4677677,56,0.34975001215934753
1522813310.750402,71,0.3525499999523163
1522813311.010875,74,0.35054999589920044
1522813312.7173343,94,0.3499000072479248
1522813313.4287007,102,0.3568499982357025
1522813313.766912,106,0.3599500060081482
1522813315.4723403,126,0.3659000098705292
1522813316.615155,139,0.3648500144481659
1522813318.0113928,155,0.3725000023841858
1522813318.260459,158,0.3691500127315521
1522813319.076894,167,0.389849990606308
1522813320.0288513,178,0.37505000829696655
1522813320.4643981,183,0.37755000591278076
1522813320.633183,185,0.3711499869823456
1522813320.7200534,186,0.3741999864578247
1522813321.0780253,190,0.37435001134872437
1522813322.6070247,207,0.38760000467300415
1522813324.012114,223,0.3828499913215637
1522813324.5343692,229,0.3813999891281128
1522813325.0060296,234,0.3923499882221222
1522813326.3271449,249,0.39070001244544983
1522813326.8513498,255,0.38589999079704285
1522813327.2927418,260,0.38040000200271606
1522813327.9472404,267,0.39340001344680786
1522813328.3189034,271,0.3930499851703644
1522813328.500231,273,0.4025000035762787
1522813330.184131,292,0.3894999921321869
1522813331.6421456,308,0.4025999903678894
1522813331.8207228,310,0.4023500084877014
1522813332.5415995,318,0.3950999975204468
1522813333.6098528,330,0.3962000012397766
1522813334.4495683,339,0.4013499915599823
1522813335.1578379,347,0.40024998784065247
1522813336.6001701,363,0.40220001339912415
1522813336.9879951,367,0.4074000120162964
1522813341.8523629,421,0.41999998688697815
1522813341.9463344,422,0.4271000027656555
1522813343.495458,439,0.4228000044822693
1522813343.6776485,441,0.4411500096321106
1522813343.7717574,442,0.42329999804496765
1522813344.0439,445,0.4185999929904938
1522813345.3930674,460,0.43050000071525574
1522813345.6617846,463,0.42340001463890076
1522813345.7509208,464,0.4228000044822693
1522813346.668507,474,0.42214998602867126
1522813348.2010183,491,0.4390000104904175
1522813348.3856082,493,0.43549999594688416
1522813350.3282318,514,0.42160001397132874
1522813350.6031537,517,0.4304499924182892
1522813351.3346324,525,0.42579999566078186
1522813351.8920183,531,0.4424000084400177
1522813352.3509283,536,0.4328500032424927
1522813352.900935,542,0.4298500120639801
1522813353.3617365,547,0.45239999890327454
1522813354.2773335,557,0.44624999165534973
1522813354.8330777,563,0.43220001459121704
1522813355.7458127,573,0.43904998898506165
1522813356.2865648,579,0.4424999952316284
1522813356.4698722,581,0.4620499908924103
1522813356.9308136,586,0.4377500116825104
1522813357.0215914,587,0.44119998812675476
1522813358.4159408,602,0.43880000710487366
1522813360.0626497,620,0.45785000920295715
1522813360.2456086,622,0.4401000142097473
1522813361.387672,634,0.4590499997138977
1522813362.0301414,641,0.46604999899864197
1522813362.121283,642,0.44815000891685486
1522813362.2979252,644,0.45785000920295715
1522813362.5699596,647,0.46720001101493835
1522813362.7594705,649,0.460099995136261
1522813363.8948674,661,0.4656499922275543
1522813364.8474045,671,0.45910000801086426
1522813365.1220837,674,0.460999995470047
1522813365.9564924,683,0.4556500017642975
1522813366.4155335,688,0.4701499938964844
1522813368.8859062,714,0.45980000495910645
1522813369.266419,718,0.46650001406669617
1522813369.6460428,722,0.4864000082015991
1522813369.7392678,723,0.4729999899864197
1522813370.4415526,730,0.4590499997138977
1522813371.2845764,739,0.49105000495910645
1522813371.6551561,743,0.4760499894618988
1522813372.0230834,747,0.47304999828338623
1522813372.4840531,752,0.46790000796318054
1522813372.899342,756,0.46755000948905945
1522813373.7922559,765,0.481550008058548
1522813374.1698437,769,0.4646500051021576
1522813374.2683017,770,0.4555000066757202
1522813374.36333,771,0.48069998621940613
1522813374.55029,773,0.47484999895095825
1522813375.2198806,780,0.48069998621940613
1522813375.693339,785,0.46875
1522813375.916231,787,0.4930500090122223
1522813376.3854198,792,0.4781999886035919
1522813376.579035,794,0.47574999928474426
1522813376.9623134,798,0.48579999804496765
1522813377.346803,802,0.487199991941452
1522813377.9078925,808,0.49114999175071716
1522813378.0061789,809,0.46380001306533813
1522813380.2744465,832,0.49149999022483826
1522813380.6528268,836,0.48170000314712524
1522813383.8938358,869,0.48350000381469727
1522813384.3997447,874,0.4973999857902527
1522813384.59275,876,0.4925000071525574
1522813385.2196321,882,0.4749999940395355
1522813386.0094666,890,0.5023000240325928
1522813386.5883212,896,0.5015000104904175
1522813386.9754176,900,0.48919999599456787
